候選最佳綜藝,,導演,出片日期
2021年,,,
試玩毛EP01《戶戶送特約：戶戶送家家走》,試玩毛EP01《戶戶送特約,梁焯霖,2021年3月17日
試玩毛EP02《忍界大戰》,試玩毛EP02《忍界大戰》｜試當真,梁焯霖,2021年5月20日
試玩毛EP03《戶戶送特約：連環殺人事件》,試玩毛EP03《戶戶送特約：連環殺人事件》| 試當真,梁焯霖,2021年7月8日
試玩毛EP04《蝙蝠俠決戰阿卡漢》,試玩毛EP04《蝙蝠俠決戰阿卡漢》| 試當真,梁焯霖,2021年8月27日
試玩毛EP05《墨魚遊戲》Cuttlefish Game,Cuttlefish Game｜試玩毛EP05《墨魚遊戲》｜試當真- YouTube,梁焯霖,2021年12月17日
第一屆試當真Secret Angel,試乜都得《第一屆試當真Secret Angel》,廖家溢,2021年12月30日
,,,
2022年,,,
猜猜我是誰？,試乜都得《猜猜我是誰？》｜試當真,梁焯霖,2022年2月25日
親愛的單核,試乜都得《親愛的單核》｜試當真,唐浩然,2022年3月12日
小即興大結局,試乜都得《小即興大結局》｜試當真,郭爾君,2022年4月7日
飛落瘋人院,試乜都得《飛落瘋人院》｜試當真,郭爾君,2022年6月13日
試當真第一屆滑板車王大賽,試乜都得《試當真第一屆滑板車王大賽》,陳光洪,2022年7月7日
口試王 EP1｜試當真、好青年荼毒室、JFFT 何者更荼毒青年？,口試王EP1｜試當真、好青年荼毒室、JFFT 何者更荼毒青年？｜豬文白水米爺倪安慈蘇致豪,"林衍朗
唐浩然",2022年8月4日
試玩毛EP06《哈利波腎》,試玩毛EP06《哈利波腎》｜試當真,梁焯霖,2022年8月16日
包剪揼地獄塔,試乜都得《包剪揼地獄塔》｜試當真,陳光洪,2022年8月22日
,,,
2023年,,,
第二屆試當真Secret Angel,試乜都得《第二屆試當真Secret Angel》,盧嘉誼,2023年1月4日
宮鬥火鍋遊戲：鍋心計,試乜都得《宮鬥火鍋遊戲：鍋心計》｜試當真,吳兆麟,2023年1月20日
廁所的屎，你我的事,試乜都得《廁所的屎，你我的事》標語創作比賽｜試當真,盧嘉誼,2023年2月6日
試玩毛《今際之國的有J》梅花K 分數爭奪戰 Game 1,Game 1｜試玩毛《今際之國的有J》梅花K 分數爭奪戰｜試當真- YouTube,"梁焯霖
游學修",2023年2月23日
試玩毛《今際之國的有J》紅心J 單人牢房 Game 2,Game 2｜試玩毛《今際之國的有J》紅心J 單人牢房｜試當真- YouTube,"梁焯霖
游學修",2023年3月2日
試玩毛《今際之國的有J》葵扇Q 將軍 Game 3,試玩毛《今際之國的有J》葵扇Q 將軍 Game 3｜試當真,游學修,2023年3月9日
試玩毛《今際之國的冇J》階磚K 天秤 Game 4,Game 4｜試玩毛《今際之國的冇J》階磚K 天秤｜試當真- YouTube,游學修,2023年3月16日
試玩毛《今際之國的朱栖》葵扇K 大屠殺 Game 5,試玩毛《今際之國的朱栖》葵扇K 大屠殺｜試當真- YouTube,"梁焯霖
游學修",2023年3月23日
試乜都得《試破克蘇魯》ep1 遊戲直播：豪、米、慈、0,試乜都得《試破克蘇魯》遊戲直播：豪、米、慈、0 - YouTube,吳兆麟,2023年4月24日
